TimeCreated,Channel,Level,EventId,ProviderName,Message
2026-03-30 21:38:20,Application,Warning,1008,Microsoft-Windows-Perflib,The Open procedure for service 'MSDTC' in DLL 'C:\WINDOWS\system32\msdtcuiu.DLL' failed with error code The system cannot find the file specified.. Performance data for this service will not be available.
2026-03-30 21:38:20,Application,Warning,1008,Microsoft-Windows-Perflib,The Open procedure for service 'ESENT' in DLL 'C:\WINDOWS\system32\esentprf.dll' failed with error code The system cannot find the file specified.. Performance data for this service will not be available.
2026-03-30 21:37:50,System,Information,7040,Service Control Manager,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
2026-03-30 21:36:16,System,Information,7045,Service Control Manager,A service was installed in the system.  Service Name:  NTIOLib_MysticLight Service File Name:  C:\Program Files (x86)\MSI\One Dragon Center\Mystic_Light\Lib\\NTIOLib_X64.sys Service Type:  kernel mode driver Service Start Type:  demand start Service Account:  
2026-03-30 21:36:05,Application,Information,15,SecurityCenter,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.
2026-03-30 21:36:03,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID  Windows.SecurityCenter.WscDataProtection  and APPID  Unavailable  to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:36:03,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID  Windows.SecurityCenter.WscBrokerManager  and APPID  Unavailable  to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:36:03,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID  Windows.SecurityCenter.SecurityAppBroker  and APPID  Unavailable  to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:36:03,Application,Information,1,SecurityCenter,The Windows Security Center Service has started.
2026-03-30 21:35:58,System,Information,7045,Service Control Manager,A service was installed in the system.  Service Name:  NTIOLib_MysticLight Service File Name:  C:\Program Files (x86)\MSI\One Dragon Center\Mystic_Light\Lib\\NTIOLib_X64.sys Service Type:  kernel mode driver Service Start Type:  demand start Service Account:  
2026-03-30 21:35:58,Application,Information,0,edgeupdate,Service stopped.
2026-03-30 21:35:07,Application,Information,256,Chrome,[19488:19424:0330/213507.860:INFO:chrome\browser\extensions\extension_garbage_collector.cc:188] Garbage collection for extensions on file thread is complete.
